,TPN_delta,TCIN_delta,rev_delta,conven_tpn,conven_tcin,conven_revenue
2017,0.0,0.0,0.0,0.0,0.0,0.0
2018,-17.771628213172562,-31.635251044879112,-49.08094481389003,-75.3,-129.30000000000004,-204.60000000000002
2019,-43.22934987595863,-32.29882725575442,-76.00995677414426,-188.80000000000007,-133.80000000000004,-322.60000000000014
2020,-36.60409556397326,-26.543849172441696,-71.85681779721654,-171.9000000000001,-112.90000000000006,-284.8000000000002
2021,-31.101040947340834,-21.924138677358428,-69.172273979083,-156.30000000000007,-92.50000000000003,-248.8000000000001
2022,-28.85748614651402,-12.36198022833753,-63.422383016004915,-150.80000000000007,-50.40000000000002,-201.2000000000001
2023,-26.540758044323184,-4.36140625468812,-61.01557771997204,-144.0,-16.4,-160.4
2024,-25.04878160571093,-4.272006018122568,-66.77164610176669,-140.9,-15.899999999999997,-156.8
2025,-23.62851498883947,-6.235451481530674,-74.24637957496361,-139.20000000000002,-24.100000000000005,-163.3
2026,-0.2615100514849473,-7.447142779418073,-59.49974499247992,-41.4,-28.399999999999995,-69.8
2027,28.79821190532357,-12.569736987011993,-42.722785401669626,83.0,-49.400000000000006,33.599999999999994
