,TPN_delta,TCIN_delta,rev_delta,conven_tpn,conven_tcin,conven_revenue
2017,0.0,0.0,0.0,0.0,0.0,0.0
2018,-18.037420662200248,-14.726122725535845,-32.76354338773609,-75.3,-60.400000000000006,-135.7
2019,-43.96049216036113,-21.94400115486411,-65.90449331522524,-188.80000000000007,-91.20000000000003,-280.0000000000001
2020,-37.44386227339214,-20.371039406626778,-57.81490168001892,-171.9000000000001,-86.90000000000003,-258.8000000000001
2021,-32.05551319277765,-15.260374775927346,-47.315887968705,-156.30000000000007,-64.50000000000003,-220.8000000000001
2022,-29.915460498320726,-6.817944426727138,-36.733404925047864,-150.80000000000007,-27.500000000000014,-178.30000000000007
2023,-27.664487535084845,1.0853703844944107,-26.579117150590434,-144.0,6.099999999999998,-137.9
2024,-26.30643278706998,4.513633749953215,-21.792799037116765,-140.9,20.799999999999997,-120.10000000000001
2025,-25.16226016788187,5.322880136689946,-19.839380031191922,-139.20000000000002,24.6,-114.60000000000002
2026,-2.0726085538385632,-0.5182885036450671,-2.5908970574836303,-41.4,0.7000000000000011,-40.699999999999996
2027,26.90756404606691,-12.663304656285163,14.244259389781746,83.0,-50.2,32.8
